title,category,link
The Future Is History,history,https://www.audible.com/pd/History/The-Future-Is-History-Audiobook/B0753YFS8S
The Foundations of Western Civilization,history,https://www.audible.com/pd/History/The-Foundations-of-Western-Civilization-Audiobook/B00DIATCXA
White Trash,history,https://www.audible.com/pd/History/White-Trash-Audiobook/B01H62F8G0
Where Do We Go from Here,history,https://www.audible.com/pd/Bios-Memoirs/Where-Do-We-Go-from-Here-Audiobook/B078TLKSGD
"The History of the United States, 2nd Edition",history,https://www.audible.com/pd/History/The-History-of-the-United-States-2nd-Edition-Audiobook/B00DIHAN68
The History of Ancient Egypt,history,https://www.audible.com/pd/History/The-History-of-Ancient-Egypt-Audiobook/B00DICD9BE
Lies My Teacher Told Me,history,https://www.audible.com/pd/History/Lies-My-Teacher-Told-Me-Audiobook/B002V8MCI2
The Emerald Tablets of Thoth the Atlantean,history,https://www.audible.com/pd/History/The-Emerald-Tablets-of-Thoth-the-Atlantean-Audiobook/B077J38BQX
A Long Way Gone,history,https://www.audible.com/pd/Bios-Memoirs/A-Long-Way-Gone-Audiobook/B00DGXTUUO
Aztecs and the Roots of Mexican Cooking,history,https://www.audible.com/pd/History/Aztecs-and-the-Roots-of-Mexican-Cooking-Audiobook/B01I3O3164
The Gatekeepers,history,https://www.audible.com/pd/Bios-Memoirs/The-Gatekeepers-Audiobook/B01N4O0QCF
The House of Morgan,history,https://www.audible.com/pd/Bios-Memoirs/The-House-of-Morgan-Audiobook/B00H9JEIDA
The Butchering Art,history,https://www.audible.com/pd/History/The-Butchering-Art-Audiobook/B075Y1KNTZ
The Woman Who Smashed Codes,history,https://www.audible.com/pd/Bios-Memoirs/The-Woman-Who-Smashed-Codes-Audiobook/B075K5P8HR
American Originals: Booker T. Washington,history,https://www.audible.com/pd/Bios-Memoirs/American-Originals-Booker-T-Washington-Audiobook/B01B3BQJB8
Coyote America,history,https://www.audible.com/pd/History/Coyote-America-Audiobook/B01M06978P
Raising Men,history,https://www.audible.com/pd/History/Raising-Men-Audiobook/B01EX8O5UK
"Sneferu, The Pyramid Builder",history,https://www.audible.com/pd/History/Sneferu-The-Pyramid-Builder-Audiobook/B01DPQ4D8U
The History of Money,history,https://www.audible.com/pd/History/The-History-of-Money-Audiobook/B0036C8R1S
A Colony in a Nation,history,https://www.audible.com/pd/History/A-Colony-in-a-Nation-Audiobook/B01N5W5FOC
"The Gulag Archipelago, Volume II",history,https://www.audible.com/pd/History/The-Gulag-Archipelago-Volume-II-Audiobook/B005JZIW0Q
Citizen Soldiers,history,https://www.audible.com/pd/Bios-Memoirs/Citizen-Soldiers-Audiobook/B004KACW3Y
The Great Departure,history,https://www.audible.com/pd/History/The-Great-Departure-Audiobook/B01D3Q25EG
The Great Bridge,history,https://www.audible.com/pd/History/The-Great-Bridge-Audiobook/B0080JBGZQ
Bury My Heart at Wounded Knee,history,https://www.audible.com/pd/History/Bury-My-Heart-at-Wounded-Knee-Audiobook/B002V9ZEA4
Inside Delta Force,history,https://www.audible.com/pd/History/Inside-Delta-Force-Audiobook/B0050OCT2S
The Return of Marco Polo's World,history,https://www.audible.com/pd/History/The-Return-of-Marco-Polos-World-Audiobook/B075FBKC7G
Hadrian's Wall,history,https://www.audible.com/pd/History/Hadrians-Wall-Audiobook/B07BRT2DVZ
